id	mention_id	mention_sentence	mention_value	mention_unit	mention_normalized_value	mention_normalized_unit	mention_token_begin	mention_token_end	expression_id	expression_value	expression_unit	expression	response_id	response	label
29412	32111	AGL shares are 2.2 percent lower at A$16.55 (US$12.91; euro9.87), valuing the group at A$6.2 billion (US$4.8 billion; euro3.67 billion).	12.91	US$	12.91	money	11	12	22056	8.105023	money	1.233803 * 1.000000 person (a person) * 1.000000 hour (an hour) * 71000.000000 USD per year per person (cost of an employee)	29385	 the cost of employing one person for one hour	1
29882	54356	Alcoa said it contributed US$1.2 billion (euro810 million) to the total investment.	1200000000.0	US$	1200000000.0	money	5	7	23031	1140270504.10959	money	0.876985 * 837422.000000 person (population of San Francisco) * 1.000000 week (a week) * 71000.000000 USD per year per person (cost of an employee)	19800	the cost of all employees in San Francisco for one week.	1
29882	54356	Alcoa said it contributed US$1.2 billion (euro810 million) to the total investment.	1200000000.0	US$	1200000000.0	money	5	7	23116	162019406.392694	money	6.172100 * 19990000.000000 person (number of employees in the services industry) * 60.000000 minute (time taken for a basketball game) * 71000.000000 USD per year per person (cost of an employee)	19712	six times the employee costs of the services industry during a basketball game.	0
29882	54356	Alcoa said it contributed US$1.2 billion (euro810 million) to the total investment.	1200000000.0	US$	1200000000.0	money	5	7	23026	995837138.508372	money	1.004180 * 38800000.000000 person (population of California) * 190.000000 minute (time taken for a football game) * 71000.000000 USD per year per person (cost of an employee)	24484	cost of the population of California as employees per football game.	0
25815	48714	The company is losing between euro1 million and euro2 million (US$1.4 million to US$2.8 million) per day in the face of stiff competition from low-cost carriers and stubbornly high operating costs.	1400000.0	US$	1400000.0	money	12	14	22515	1462956.621005	money	0.683547 * 57000.000000 person (number of employees at Google) * 190.000000 minute (time taken for a football game) * 71000.000000 USD per year per person (cost of an employee)	43048	the cost of an employee during 190 minutes at Google.	0
25815	48714	The company is losing between euro1 million and euro2 million (US$1.4 million to US$2.8 million) per day in the face of stiff competition from low-cost carriers and stubbornly high operating costs.	1400000.0	US$	1400000.0	money	12	14	22558	188900.0	money	5.293806 * 188900.000000 USD (average  cost of a house in the US)	38509	5 times the average cost of a house in the US.	1
25815	48714	The company is losing between euro1 million and euro2 million (US$1.4 million to US$2.8 million) per day in the face of stiff competition from low-cost carriers and stubbornly high operating costs.	1400000.0	US$	1400000.0	money	12	14	22579	98038.356164	money	10.200089 * 72.000000 person (average number of employees in a grocery store) * 1.000000 week (a week) * 71000.000000 USD per year per person (cost of an employee)	17391	10 times the cost of employing the staff of an average grocery store for one week	0
24583	55081	Three days after Madrid completed the signing of Kaka from AC Milan for a reported euro65 million ($92 million), Manchester United said Thursday it would accept 80 million pounds ($131 million; euro93 million) for Ronaldo, who will now negotiate personal terms with the Spanish club.	131000000.0	$	131000000.0	money	35	37	22885	33084703.196347	money	3.022545 * 8164000.000000 person (number of employees in the financial industry) * 30.000000 minute (time taken for lunch) * 71000.000000 USD per year per person (cost of an employee)	33858	3 times the cost of employing the financial industry for lunch	1
24583	55081	Three days after Madrid completed the signing of Kaka from AC Milan for a reported euro65 million ($92 million), Manchester United said Thursday it would accept 80 million pounds ($131 million; euro93 million) for Ronaldo, who will now negotiate personal terms with the Spanish club.	131000000.0	$	131000000.0	money	35	37	22893	27051000.0	money	3.696721 * 2.540000 person (average household size) * 150.000000 year (average lifetime for a tree) * 71000.000000 USD per year per person (cost of an employee)	15774	4 times the cost of employing the average household over the life of a tree	0
26854	76922	Nearly 7 million cars and trucks were sold in China last year, according to CSM Worldwide Inc. in Northville.	7000000.0	car	7000000.0	car	2	4	21506	31000000.0	car	0.322581 * 31000000.000000 car (number of cars registered in California)	24889	1/3 the number of cars registered in California.	1
27485	49139	The trend has extended to $5,000 dog houses that look like mini Airstream trailers, cosmetic orthodontia, depression medication, even testicular implants that mask a neutering procedure.	5000.0	$	5000.0	money	6	7	22293	33500.0	money	0.298507 * 1.000000 car (a car) * 33500.000000 USD per car (cost of a new car)	44768	one third of the cost of a new car.	1
27485	49139	The trend has extended to $5,000 dog houses that look like mini Airstream trailers, cosmetic orthodontia, depression medication, even testicular implants that mask a neutering procedure.	5000.0	$	5000.0	money	6	7	22290	3554.95378	money	2.812976 * 15790000.000000 person (number of employees in the retail industry) * 100.000000 millisecond (time taken to blink) * 71000.000000 USD per year per person (cost of an employee)	31020	three times the cost of employing every worker employed in retail put together for the time it takes to blink	0
27485	49139	The trend has extended to $5,000 dog houses that look like mini Airstream trailers, cosmetic orthodontia, depression medication, even testicular implants that mask a neutering procedure.	5000.0	$	5000.0	money	6	7	22267	8735.415243	money	1.144765 * 38800000.000000 person (population of California) * 100.000000 millisecond (time taken to blink) * 71000.000000 USD per year per person (cost of an employee)	19079	the cost of employees numbering the population of California in the time taken to blink.	0
25208	1	They tried unsuccessfully to sue the U.S. government for US$10 million (euro6.3 million) each in damages.	10000000.0	US$	10000000.0	money	10	12	22657	6787324.429224	money	1.473335 * 837422.000000 person (population of San Francisco) * 60.000000 minute (time taken for a basketball game) * 71000.000000 USD per year per person (cost of an employee)	31673	cost of an employee for the population count of San Francisco for the duration of a basketball game.	0
25208	1	They tried unsuccessfully to sue the U.S. government for US$10 million (euro6.3 million) each in damages.	10000000.0	US$	10000000.0	money	10	12	22677	26341324.200913	money	0.379632 * 6500000.000000 person (number of employees in the construction industry) * 30.000000 minute (time taken for lunch) * 71000.000000 USD per year per person (cost of an employee)	17555	1/3rd the cost of all construction industry worker wages for a period equal to a lunchbreak.	0
24898	15707	Termo Cuiaba, which imports 1.2 million cubic meters (42 million cubic feet) a day for its thermoelectric plant in Mato Grosso state, will pay 4.20 dollars per million BTU, four times what it currently pays, officials from both countries said.	42000000.0	cu-feet	1190238000.0	volume	11	14	24435	530000000.0	volume	1.886792 * 1.000000 hour (an hour) * 80000000.000000 barrel per day   (oil produced by the world)	36320	twice as much oil as is produced worldwide in one hour	0
24898	15707	Termo Cuiaba, which imports 1.2 million cubic meters (42 million cubic feet) a day for its thermoelectric plant in Mato Grosso state, will pay 4.20 dollars per million BTU, four times what it currently pays, officials from both countries said.	42000000.0	cu-feet	1190238000.0	volume	11	14	24684	96252992.20274	volume	10.389287 * 60000000.000000 person (people killed during world war II) * 1.000000 week (a week) * 22.100000 gallon per person per year (coffee consumption)	41210	10 times the coffee consumed by all people killed in WWII in a week.	0
21958	71867	Natural gas futures slipped by more than 5 cents to US$10.043 per 1,000 cubic feet.	10.043	US$	10.043	money	11	12	22059	5.924658	money	1.687861 * 1.000000 hour (an hour) * 51900.000000 USD per year (median income)	14065	double one hour of the median income.	1
29065	20706	Each year, communist Vietnam imports between 12 and 14 million tons of various types of fuel for its 86 million people and demand is forecast to increase by between 10 and 15 percent a year, PetroVietnam said.	86000000.0	people	86000000.0	person	20	22	21329	15790000.0	person	6.333122 * 15790000.000000 person (number of employees in the retail industry)	35200	6 times the number of people who work in retail.	1
29065	20706	Each year, communist Vietnam imports between 12 and 14 million tons of various types of fuel for its 86 million people and demand is forecast to increase by between 10 and 15 percent a year, PetroVietnam said.	86000000.0	people	86000000.0	person	20	22	21332	10240000.0	person	9.765625 * 4.000000 year (time taken to graduate college) * 2560000.000000 person per year (death rate in the US)	21977	ten times the death rate in the US during the time it takes to graduate college.	0
29065	20706	Each year, communist Vietnam imports between 12 and 14 million tons of various types of fuel for its 86 million people and demand is forecast to increase by between 10 and 15 percent a year, PetroVietnam said.	86000000.0	people	86000000.0	person	20	22	21321	436870000.0	person	0.228901 * 79.000000 year (average lifetime for a person) * 5530000.000000 person per year (global death rate)	23329	1/4 the number of people that die around the world in one person's lifetime.	0
29855	27508	"""A global answer requires the presence of all regions in the world, representing the voice of the rich, the emerging and the poorest,"" he said, noting that 1.4 billion people live in extreme poverty on less than 1.25 dollars a day."	1400000000.0	people	1400000000.0	person	34	36	21346	436870000.0	person	2.289010 * 79.000000 year (average lifetime for a person) * 5530000.000000 person per year (global death rate)	20472	twice the number of people who die around the world during a person's lifetime.	0
29855	27508	"""A global answer requires the presence of all regions in the world, representing the voice of the rich, the emerging and the poorest,"" he said, noting that 1.4 billion people live in extreme poverty on less than 1.25 dollars a day."	1400000000.0	people	1400000000.0	person	34	36	21345	500000000.0	person	2.000000 * 500000000.000000 person (people killed during Iraq war)	40687	2 times the number of people killed during the Iraq war.	1
29690	45145	Thaksin, who became prime minister in 2001, built a loyal following among Thailand's rural majority by implementing populist policies including a 30 baht (US$0.95; euro0.61) per visit health care plan, three-year debt suspension for farmers and a development fund giving 1 million baht (US$31,746; euro20,380) to every village.	0.95	US$	0.95	money	28	29	22008	0.47619	money	2.100000 * 1.000000 hour (an hour) * 80.000000 USD per week (average cost of food)	32112	the average cost of food for 2 hours.	0
29690	45145	Thaksin, who became prime minister in 2001, built a loyal following among Thailand's rural majority by implementing populist policies including a 30 baht (US$0.95; euro0.61) per visit health care plan, three-year debt suspension for farmers and a development fund giving 1 million baht (US$31,746; euro20,380) to every village.	0.95	US$	0.95	money	28	29	22024	8.105023	money	0.123380 * 1.000000 person (a person) * 1.000000 hour (an hour) * 71000.000000 USD per year per person (cost of an employee)	39590	1/8th the cost to employ someone for an hour.	1
21235	41308	The funding is in addition to the $1 billion Canadian (US$860 million;euro653.5 million) Canada has already pledged for reconstruction.	1000000000.0	$	1000000000.0	money	8	10	23064	2290000000.0	money	0.436681 * 2290000000.000000 USD (the construction cost of Bellagio in Las Vegas)	34257	1/2 the amount it cost to construct the Bellagio hotel in Las Vegas.	0
21235	41308	The funding is in addition to the $1 billion Canadian (US$860 million;euro653.5 million) Canada has already pledged for reconstruction.	1000000000.0	$	1000000000.0	money	8	10	23074	2580639269.40639	money	0.387501 * 39800000.000000 person (number of people in poverty) * 8.000000 hour (time taken for a work day) * 71000.000000 USD per year per person (cost of an employee)	37227	1/3 the amount it would cost to employ everyone in poverty for a typical workday.	1
21235	41308	The funding is in addition to the $1 billion Canadian (US$860 million;euro653.5 million) Canada has already pledged for reconstruction.	1000000000.0	$	1000000000.0	money	8	10	23118	161289954.3379	money	6.200014 * 39800000.000000 person (number of people in poverty) * 30.000000 minute (time taken for lunch) * 71000.000000 USD per year per person (cost of an employee)	25225	six times the cost to employ all people living in poverty during lunch.	0
26889	16743	In Antanimbary, 180 miles (300 kilometers) west of the capital, Antananarivo, each miner and panner pays US$1.50 a year for a permit and buyers pay US$50 a year to make purchases in the area.	1.5	US$	1.5	money	22	23	22027	0.098744	money	10.127168 * 1.000000 minute (a minute) * 51900.000000 USD per year (median income)	44906	10 times the median income during a minute.	0
26889	16743	In Antanimbary, 180 miles (300 kilometers) west of the capital, Antananarivo, each miner and panner pays US$1.50 a year for a permit and buyers pay US$50 a year to make purchases in the area.	1.5	US$	1.5	money	22	23	22015	3.809524	money	0.262500 * 8.000000 hour (time taken for a work day) * 80.000000 USD per week (average cost of food)	17543	one fourth the average cost of food for one work day.	1
29302	56795	The five floorplans, ranging in size from 1,593 square feet to 2,084 square feet, are based on Stewart's residences in New York, Connecticut and Maine.	2084.0	sq-feet	193.709884	area	13	15	20955	162.0	area	0.617284 * 162.000000 sq-meter (Size of a volleyball court, 18 × 9 metres)	20485	half the size of a volleyball court	0
23499	71579	The ministry said the spillage might be greater than the estimated 10,000 tons.	10000.0	ton	9071850.0	weight	12	13	24190	4782315.675	weight	2.091037 * 57000.000000 person (number of employees at Google) * 185.000000 pound per person (weight of a person)	32594	twice the weight of all of the employees at Google.	0
23499	71579	The ministry said the spillage might be greater than the estimated 10,000 tons.	10000.0	ton	9071850.0	weight	12	13	24155	10264102.651667	weight	0.974269 * 15790000.000000 person (number of employees in the retail industry) * 8.000000 hour (time taken for a work day) * 4.300000 pound per person per day (trash generated in the US)	23228	the amount of trash generated by the number of employees in the retail industry over the course of a work day.	0
23499	71579	The ministry said the spillage might be greater than the estimated 10,000 tons.	10000.0	ton	9071850.0	weight	12	13	24258	1283012.831458	weight	7.794154 * 15790000.000000 person (number of employees in the retail industry) * 1.000000 hour (an hour) * 4.300000 pound per person per day (trash generated in the US)	24834	8 times the amount of trash generated in the US by employees in the retail industry in an hour	0
23499	71579	The ministry said the spillage might be greater than the estimated 10,000 tons.	10000.0	ton	9071850.0	weight	12	13	24170	6936990.635278	weight	1.441547 * 26960000.000000 person (population of Texas) * 190.000000 minute (time taken for a football game) * 4.300000 pound per person per day (trash generated in the US)	19591	the amount of trash produced by everyone in Texas in the time it takes to play a football game.	0
25116	7917	Along a stretch of a highway in the small, riverfront city of Demopolis, the store lost track of more than 180 guns and failed more than 700 times to correctly log firearm sales over a dozen years, records show.	180.0	gun	180.0	gun	23	24	20565	313.926941	gun	0.318545 * 30.000000 minute (time taken for lunch) * 5500000.000000 gun per year (number of guns produced in the us)	17107	1/3 times all the guns produced in the US during lunch.	0
25116	7917	Along a stretch of a highway in the small, riverfront city of Demopolis, the store lost track of more than 180 guns and failed more than 700 times to correctly log firearm sales over a dozen years, records show.	180.0	gun	180.0	gun	23	24	20564	122.4	gun	0.816993 * 72.000000 person (average number of employees in a grocery store) * 1.700000 gun per person (gun ownership)	30261	the toatl number of guns owned by everyone working at an average grocery store	0
25116	7917	Along a stretch of a highway in the small, riverfront city of Demopolis, the store lost track of more than 180 guns and failed more than 700 times to correctly log firearm sales over a dozen years, records show.	180.0	gun	180.0	gun	23	24	20568	627.853881	gun	0.159273 * 1.000000 hour (an hour) * 5500000.000000 gun per year (number of guns produced in the us)	18671	a sixth of the total number of guns produced in the US in an hour	1
21980	66961	Organizers noted that the World Bank is projecting a finance gap of up to 700 billion dollars in developing countries, resulting in additional deaths of 1.5 to 2.8 million infants by 2015 and more than 100 million people tipping over into extreme poverty each year for the duration of the crisis.	100000000.0	people	100000000.0	person	37	39	21329	15790000.0	person	6.333122 * 15790000.000000 person (number of employees in the retail industry)	35185	6 times the number of people working in the retail industry	1
21980	66961	Organizers noted that the World Bank is projecting a finance gap of up to 700 billion dollars in developing countries, resulting in additional deaths of 1.5 to 2.8 million infants by 2015 and more than 100 million people tipping over into extreme poverty each year for the duration of the crisis.	100000000.0	people	100000000.0	person	37	39	21321	436870000.0	person	0.228901 * 79.000000 year (average lifetime for a person) * 5530000.000000 person per year (global death rate)	23354	one quarter of the number of people who die during the lifetime of an average person	0
21724	70549	Fears that the man accused of killing abortion provider George Tiller could plan new attacks are behind a judge's decision last week to raise his bail to US$20 million, up from $5 million.	20000000.0	US$	20000000.0	money	29	31	22672	21493194.025875	money	0.465264 * 837422.000000 person (population of San Francisco) * 190.000000 minute (time taken for a football game) * 71000.000000 USD per year per person (cost of an employee)	31710	one half the cost of employing the population of San Francisco over the time taken for a football game. 	0
28070	6202	Kaka agreed to a six-year contract with Madrid and will team up with Cristiano Ronaldo, the world player of the year who Madrid acquired for a transfer record 80 million pounds (euro94 million; $131 million).	131000000.0	$	131000000.0	money	37	39	22840	127978310.502283	money	0.781382 * 15790000.000000 person (number of employees in the retail industry) * 60.000000 minute (time taken for a basketball game) * 71000.000000 USD per year per person (cost of an employee)	37033	the cost of employing every person currently working in the retail industry for the course of a single basketball game.	0
28070	6202	Kaka agreed to a six-year contract with Madrid and will team up with Cristiano Ronaldo, the world player of the year who Madrid acquired for a transfer record 80 million pounds (euro94 million; $131 million).	131000000.0	$	131000000.0	money	37	39	22835	109255707.762557	money	0.915284 * 26960000.000000 person (population of Texas) * 30.000000 minute (time taken for lunch) * 71000.000000 USD per year per person (cost of an employee)	31133	the cost to employ the population of Texas for the time taken for lunch.	1
28070	6202	Kaka agreed to a six-year contract with Madrid and will team up with Cristiano Ronaldo, the world player of the year who Madrid acquired for a transfer record 80 million pounds (euro94 million; $131 million).	131000000.0	$	131000000.0	money	37	39	22864	54298595.43379	money	1.841668 * 837422.000000 person (population of San Francisco) * 8.000000 hour (time taken for a work day) * 71000.000000 USD per year per person (cost of an employee)	29183	twice the cost of employing the population of San Francisco for a work day.	1
25863	47244	An American automaker who wants to sell a $20,000 car abroad would charge (EURO)14,700 at today's rates compared with (EURO)13,245 in November.	20000.0	$	20000.0	money	9	10	22277	15900.0	money	0.628931 * 1.000000 car (a car) * 15900.000000 USD per car (cost of a used car)	43255	half the cost of a used car.	1
28964	47517	At least 61 people were killed in the bombings, according to the most recent count.	61.0	people	61.0	person	3	4	21092	72.0	person	1.388889 * 72.000000 person (average number of employees in a grocery store)	13659	the average number of employees in a grocery store.	0
28964	47517	At least 61 people were killed in the bombings, according to the most recent count.	61.0	people	61.0	person	3	4	21093	146.118721	person	0.684375 * 30.000000 minute (time taken for lunch) * 2560000.000000 person per year (death rate in the US)	37821	the amount of people who die in a half hour in the US.	1
30104	75436	The ten candidates were largely untainted by the expenses scandal, though Beckett faced criticism for claiming almost 11,000 pounds ($18,000) in gardening costs, and Bercow was revealed to have charged taxpayers for help completing his tax returns.	18000.0	$	18000.0	money	22	23	22280	16685.714286	money	0.599315 * 4.000000 year (time taken to graduate college) * 80.000000 USD per week (average cost of food)	39376	1/2 the average cost of food during the time taken to graduate college.	0
30104	75436	The ten candidates were largely untainted by the expenses scandal, though Beckett faced criticism for claiming almost 11,000 pounds ($18,000) in gardening costs, and Bercow was revealed to have charged taxpayers for help completing his tax returns.	18000.0	$	18000.0	money	22	23	22317	995.342466	money	10.046793 * 1.000000 week (a week) * 51900.000000 USD per year (median income)	28288	the median income for ten weeks.	1
30104	75436	The ten candidates were largely untainted by the expenses scandal, though Beckett faced criticism for claiming almost 11,000 pounds ($18,000) in gardening costs, and Bercow was revealed to have charged taxpayers for help completing his tax returns.	18000.0	$	18000.0	money	22	23	22292	33500.0	money	0.298507 * 33500.000000 USD (cost of a new car)	25674	one third the cost of a new car	1
21253	29271	It is adjacent to Sichuan Province, where 87,000 people died in a powerful earthquake in 2008.	87000.0	people	87000.0	person	9	10	21208	49095.890411	person	2.036830 * 1.000000 week (a week) * 2560000.000000 person per year (death rate in the US)	42488	2 times the death rate in the US in one week.	1
21253	29271	It is adjacent to Sichuan Province, where 87,000 people died in a powerful earthquake in 2008.	87000.0	people	87000.0	person	9	10	21206	57000.0	person	1.754386 * 57000.000000 person (number of employees at Google)	18802	two times the number of people who work at Google	0
21253	29271	It is adjacent to Sichuan Province, where 87,000 people died in a powerful earthquake in 2008.	87000.0	people	87000.0	person	9	10	21202	99000.0	person	1.010101 * 99000.000000 person (number of employees at Microsoft)	28125	the number of employees at Microsoft.	1
21237	41308	The funding is in addition to the $1 billion Canadian (US$860 million;euro653.5 million) Canada has already pledged for reconstruction.	1000000000.0	$	1000000000.0	money	8	10	23057	1930000000.0	money	0.518135 * 1930000000.000000 USD (the construction cost of Trump Taj Mahal in Atlantic City)	17402	half the construction cost of the Trump Taj Mahal.	1
21237	41308	The funding is in addition to the $1 billion Canadian (US$860 million;euro653.5 million) Canada has already pledged for reconstruction.	1000000000.0	$	1000000000.0	money	8	10	23049	598420852.359209	money	1.671065 * 4430000000.000000 person (population of Asia) * 1.000000 minute (a minute) * 71000.000000 USD per year per person (cost of an employee)	31876	twice the amount of money earned by the Asian population in a minute.	0
21237	41308	The funding is in addition to the $1 billion Canadian (US$860 million;euro653.5 million) Canada has already pledged for reconstruction.	1000000000.0	$	1000000000.0	money	8	10	23096	4052511415.52512	money	0.246761 * 500000000.000000 person (people killed during Iraq war) * 1.000000 hour (an hour) * 71000.000000 USD per year per person (cost of an employee)	41911	1/4th the cost to employ everyone killed during the Iraq war for an hour.	0
22344	37102	In other Nymex trading, heating oil futures fell 2.59 cents to $1.9250 a gallon, while natural gas prices dipped 6.3 cents to $7.850 per 1,000 cubic feet.	7.85	$	7.85	money	26	27	22064	22.288817	money	0.448655 * 99000.000000 person (number of employees at Microsoft) * 100.000000 millisecond (time taken to blink) * 71000.000000 USD per year per person (cost of an employee)	22233	1/2 the amount of cost to employ the amount of Microsoft employees during the time it takes to blink.	0
22344	37102	In other Nymex trading, heating oil futures fell 2.59 cents to $1.9250 a gallon, while natural gas prices dipped 6.3 cents to $7.850 per 1,000 cubic feet.	7.85	$	7.85	money	26	27	22055	8.105023	money	1.233803 * 1.000000 person (a person) * 60.000000 minute (time taken for a basketball game) * 71000.000000 USD per year per person (cost of an employee)	17186	the cost of an employee for an hour's work.	1
22344	37102	In other Nymex trading, heating oil futures fell 2.59 cents to $1.9250 a gallon, while natural gas prices dipped 6.3 cents to $7.850 per 1,000 cubic feet.	7.85	$	7.85	money	26	27	22065	4.052511	money	2.467606 * 1.000000 person (a person) * 30.000000 minute (time taken for lunch) * 71000.000000 USD per year per person (cost of an employee)	42636	double the cost of employing one person for the amount of time it takes to have lunch	0
26851	55176	Most experts estimate that the over 1,000 kilograms -- 2,200 pounds -- of low-enriched uranium Iran had accumulated by February was already enough to produce enough weapons-grade material through further enrichment for one nuclear weapon.	1000.0	kilogram	1000.0	weight	7	8	23542	6040.8198	weight	0.165540 * 72.000000 person (average number of employees in a grocery store) * 185.000000 pound per person (weight of a person)	37529	one sixth the weight of the staff of an average grocery store	0
26851	55176	Most experts estimate that the over 1,000 kilograms -- 2,200 pounds -- of low-enriched uranium Iran had accumulated by February was already enough to produce enough weapons-grade material through further enrichment for one nuclear weapon.	1000.0	kilogram	1000.0	weight	7	8	23530	247.827051	weight	4.035072 * 183000.000000 person (number of employees in the oil industry) * 1.000000 minute (a minute) * 4.300000 pound per person per day (trash generated in the US)	15033	4 times the weight of trash generated in the US by employees in the oil industry every minute.	1
29969	40157	The federation released its first report, which was heavily criticized, only 10 hours after Kumaritashvili's death.	10.0	hour	600.0	time	14	15	21896	1140.0	time	0.877193 * 1.000000 car (a car) * 19.000000 hour per car (total time taken to build a car)	18921	the time it takes to build one car	0
29969	40157	The federation released its first report, which was heavily criticized, only 10 hours after Kumaritashvili's death.	10.0	hour	600.0	time	14	15	21899	190.0	time	5.263158 * 190.000000 minute (time taken for a football game)	34586	5 times the length of a football game	1
29969	40157	The federation released its first report, which was heavily criticized, only 10 hours after Kumaritashvili's death.	10.0	hour	600.0	time	14	15	21897	1440.0	time	0.694444 * 1.000000 day (a day)	28362	a day	0
21144	25632	China's police authorities have confiscated 892 guns and more than 50,000 rounds of ammunition over the past two months in a campaign to crack down on illegal firearms and explosives.	892.0	gun	892.0	gun	7	8	20580	627.853881	gun	1.592727 * 1.000000 hour (an hour) * 5500000.000000 gun per year (number of guns produced in the us)	18875	2 times the amount of gun produced in the US during 1 hour.	1
21144	25632	China's police authorities have confiscated 892 guns and more than 50,000 rounds of ammunition over the past two months in a campaign to crack down on illegal firearms and explosives.	892.0	gun	892.0	gun	7	8	20585	5022.83105	gun	0.199091 * 8.000000 hour (time taken for a work day) * 5500000.000000 gun per year (number of guns produced in the us)	22109	1/5 of the number of guns produced in the US during the work day	1
23147	14004	In other Nymex trading, heating oil futures rose 2.67 cents to settle at $1.8325 a gallon, while natural gas dropped 11.1 cents to $7.381 per 1,000 cubic feet.	7.381	$	7.381	money	27	28	22059	5.924658	money	1.687861 * 1.000000 hour (an hour) * 51900.000000 USD per year (median income)	29076	twice the median income made in an hour.	1
22075	49002	More than 1,000 people working to respond to the spill, including officials from the Coast Guard, the federal government and BP.	1000.0	people	1000.0	person	3	4	21135	315.639269	person	3.168174 * 30.000000 minute (time taken for lunch) * 5530000.000000 person per year (global death rate)	22809	3 times the global death rate in the time for lunch.	0
