1/8 the amount of coffee consumed by the employees at Yelp in the time it takes to blink	one eighth the coffee consumption by the number of employees at Yelp in the time taken to blink	1/8th the coffee consumed by the entire staff of Yelp in the time it takes to blink	an eighth the volume of coffee consumed by the entire set of employees at Yelp in the time it takes to blink	1/8th the coffee consumed by all Yelp employees over a period equal to the blink of an eye	1/8th the coffee consumed by Yelp employees in the time it takes to blink	1/8 the amount of coffee drank by the entire Yelp workforce in the time it takes to blink
60 times the weight of garbage produced in the United States by the entire workforce of the manufacturing industry in one minute	60 times the amount of trash generated in the US by the number of employees in the manufacturing industry in one minute	60 times the amount of trash generated by all of the employees in the manufacturing industry in one minute	60 times the trash generated by manufacturing employees for one minute	60 times the trash generated by the number of employees in the manufacturing industry every min	sixty times the trash generated per minute in the US by the number of people working in manufacturing	60 times the amount of trashed generated by the US manufacturing industry in a minute
one thirtieth the cost of employing the population of United States for one hour	1/30 the cost to employ everyone in the US for an hour	a thirtirth of the cost of an employee per hour of the population of the united states	1/30th of the cost of employing the population of the United States for one hour	1/30th what it would cost to employ everyone in the United States for one hour	1/30th of what it costs to employ everyone in the United States for an hour	1/30th of an hour's wages for the entire population of the United States
1/20th of the weight of the birth that die in the US during the time it takes to graduate college	a 20th of the US birth rate during the time it takes to graduate college	1/20th of the number of people born in the United States over the time it takes to graduate college	one twentieth the birth rate in the US in the time taken to graduate college	1/20th the birth rate in the US during the time taken to graduate college	one twentieth the birth rate in the US in the time taken to graduate college	five percent of the US birth rate during the time taken to graduate college
one tenth the trash generated in the US by a person in the time taken for a person	1/10 the amount of trash generated in the US by a person during the time taken for a soccer game	1/10th of the weight of garbage produced in the United States by one person in the time it takes to play a game of soccer	a tenth of the trash generated by an American over the duration of a soccer game	1/10 the trash generated in the US by a person over the time taken for a soccer game	1/10 the trash produced by a person during a soccer game	1/10th the weight of trash generated by 1 person in the US in the time it takes to play a soccer game
1/30 of the trash generated by employees in the manufacturing industry during a football game	1/30 the trash generated in the US by the number of employees in the manufacturing industry for the duration of a football game	1/30th the trash generated by manufacturing industry employees over the length of a football game	1/30th the trash generated during a football game by employees of the manufacturing industry	1/30 the trash generated by manufacturing employees in the time it takes to play a football game	1/30th the amount of trash generated by all of the employees in the manufacturing industry during a football game	1/30th the amount of trash generated in the US in 190 minutes in the manufacturing industry
the number of people who die in the time it takes to have lunch	the number of people who are born around the world during a lunch period	the number of people born throughout the world in the time it takes to have lunch	The global birth rate in the time taken for lunch	the average global birth rate during lunch time	how many people die globally in the time it takes to eat lunch	the rate of people born globally during a lunch break
one half of the sea of an average person over their lifetime	0.1 meters is half the sea level rise during an average person's lifetime	1/2 the amount sea levels rise over the average life span of a person	one half the amount the sea level will rise during the average person's lifetime	one half of the sea level rise over the course of an average persons lifetime	1/2th the rise of sea level in the average person's lifetime	half the rise in sea level over the average lifetime for a person	half the amount the sea level rises during the average lifetime of a person	half the rise in sea level over the average lifetime for a person	1/2 the amount sea level rises in a person's lifetime	the averge rise of the sea during a person's lifetime	one half the sea level rise during the average lifetime of a person	one half the sea level rise per the average human lifetime	A half of the sea level rise during a person's average lifetime
the cost of the number of employees on Medicare in the time taken for a football game	the cost of paying the number of employees on Medicare in California during a football game	the cost of the number of employees on Medicare in California in the time taken for a football game	the cost to employ Medicare employees in California over the length of a football game	the cost to employ the number of employees on Medicare in California for the lenth of a football game	the cost of employing the number of people working for Medicare in California for the duration of a football game	total cost of all employees on medicare in California during a football game	the cost to employ all employees on Medicare in California for the duration of a football game
six times the number of employees in the US	6 times the number of employees in the economy	6 times the number of employees in the economy	6 times the number of employees in the economy	6 times number of people in the economy	6 times the total workers in the economy	6 times the number of employees in the economy
1/50th of the number of dogs in the United States generates in a lifetime	1/50th the number of dogs entered into a shelter in 12 years	1/50 times all the shelter dogs during a dog's life	1/50th the amount of dogs in shelters over the lifespan of a dog	1/50th of the amount of dogs in shelters over the lifespan of an average dog	1/50th the number of dogs in shelters over the lifetime of an average dog	1/50th the number of dogs placed in shelters in the average life of a dog
1/20th the amount of water Google employees in the US by the number of employees at Google	1/20 the amount of water used by all the employees at Google in the time it takes to graduate college	1/20th the amount of water used by all the employees at Google in the time it takes to graduate college	1/20 the water used by google employees in the time it takes to graduate college	1/20th of the amount of water used in the United States by the staff of Google over the time it takes to graduate college	one twentieth of the water usage in the US by the number of employees at google in the time taken to graduate college	1/20 of the the water consumed by the employees at Google over the amount of time it takes to graduate college
50 times the trash generated in the US by the number of people killed in the US for the length of a single work day	50 times the amount of trash generated in the US in a work day per 3 thousand people	fifty times the amount of trash produced by the people killed in 9/11 over a work day, if they were still alive	fifty times the amount of trash generated in an American work day per the number of people killed during the September 11th attack	50 times the trash generated in the US for the amount of people killed during September 11th for the time taken for a work day	50 times the trash generated in the US by the number of 9/11 victims over the course of a workday	50 times the weight of garbage produced in the United States by the number of people killed during 9/11 in a single work day
one tenth the coffee consumption of a person in the time taken for a person	1/10th the volume of coffee consumed in 90 minutes	one tenth the coffee consumption over the time taken for a soccer game	1/10 the amount of coffee consumed during a soccer game	a tenth of the gallons of coffee consumed per person during the time taken for a soccer game	1/10 the amount of coffee drank during the span of an average soccer game	1/10 times the coffee consumed during a soccer game	1/10 the amount of coffee consumed by the average person over the course of a soccer game
three times the coffee consumption of the number of people killed in the September area	3 times the coffee consumed hourly by the number of people killed in the 9-11 attack	the coffee consumption of the casulties of the September 11th attacks for three hours	three times the coffee consumed by all the people killed in the 9/11 attack in an hour	three times the amount of coffee consumed per hour by the same number of people who were killed during the September 11th attack	three times the amount of coffee people who died in 9/11 would consume in an hour	3 times the amount of coffee consumption of people killed during the September 11th attack an hour
60 times the amount of water that would be consumed by the average lifespan of a tree	sixty times the water usage in the US in the average lifetime for a tree	sixty time the amount of water used in the US ove the lifetime of a tree	60 times the volume of water used in America in the span of a tree's lifetime	60 times the water usage in the US during a tree's average lifetime	1000 million L per person is 60 times the water usage in the US over the average lifetime of a tree	60 times the average amount of water a person in the US would use over the average lifetime of a tree
one fourth of the global birth birth on a day	1/4 the number of people being born across the globe in a day	one quarter of the number of people born throughout the world in a single day	1/4th the number of babies born globally in a day	1/4th the number of people born worldwide in one day	1/4th the amount of babies born around the world in a day	a quarter of the number of people born in the world each day
1/20th of the amount of coffee consumed by the staff of Yelp in the average lifetime of a person	one twentieth the lifetime coffee consumption of Yelp employees	1/20th the amount of coffee consumed by Yelp employees during the average lifetime	1/20th the coffee consumption for the number of Yelp employees during the average lifetime of a person	one twentieth the coffee consumption in the average lifetime of a person by the number of employees at Yelp	1/20th the volume of coffee consumed in a lifetime for a population the size of all the employees at Yelp	1/20 the level of coffee consumption in the average lifetime for aperson by the number of employees at Yelp
the cost of employing the staff of Yelp in the time taken for a football game	the cost of the number of employees at Yelp over the time taken for a football game	the cost of employing the number of employees at Yelp in the time taken for a football game	the cost of wages for everyone at Yelp for a time period equal to a football game	the cost of employing the number of Yelp employees for a football game	the cost of employing the entire staff of Yelp for the length of a football game	cost of Yelp employees during a football game
