name	relation	value	unit	type	qualifiers""
General Government	US national budget in 2015 for	22.407E9	US$	money	""
Net Interest	US national budget in 2015 for	223.450E9	US$	money	""
Allowances	US national budget in 2015 for	1.875E9	US$	money	""
Undistributed Offsetting Receipts	US national budget in 2015 for	-90.740E9	US$	money	""
Everything	US national budget in 2015 for	3650.526E9	US$	money	""
The Cosmopolitan in Las Vegas	cost of construction of	3.90E9	US$	money	""
One World Trade Center in New York	cost of construction of	3.80E9	US$	money	""
Wynn Resort in Las Vegas	cost of construction of	2.70E9	US$	money	""
Bellagio in Las Vegas	cost of construction of	1.60E9	US$	money	""
The Palazzo in Las Vegas	cost of construction of	1.80E9	US$	money	""
Taipei 101 in Taipei	cost of construction of	1.80E9	US$	money	""
Trump Taj Mahal in Atlantic City, New Jersey	cost of construction of	1.10E9	US$	money	""
Wembley Stadium in London	cost of construction of	1.50E9	US$	money	""
Yankee Stadium in New York	cost of construction of	1.50E9	US$	money	""
Petronas Twin Towers in Kuala Lumpur	cost of construction of	1.16E9	US$	money	""
Burj Khalifa in Dubai	cost of construction of	1.50E9	US$	money	""
