808	"1 square mile"	is	2590000.0	sqmeter
809	"City of London, not all of modern London"	is	2900000.0	sqmeter
810	"Manhattan Island, land area"	is	59500000.0	sqmeter
811	"San Marino"	is	61000000.0	sqmeter
812	"Paris, inner city only"	is	105000000.0	sqmeter
813	"Walt Disney World"	is	120000000.0	sqmeter
814	"Taipei City"	is	272000000.0	sqmeter
815	Toronto	is	630000000.0	sqmeter
816	"Hong Kong"	is	1100000000.0	sqmeter
817	"Los Angeles, California, USA, city"	is	1290000000.0	sqmeter
818	"Surface area of a typical neutron star"	is	1800000000.0	sqmeter
819	"Jacksonville, Florida; largest city in the Continental US"	is	1962000000.0	sqmeter
820	Tokyo	is	2188000000.0	sqmeter
821	Bali	is	5700000000.0	sqmeter
822	"Community of Madrid, Spain"	is	8028000000.0	sqmeter
823	Jamaica	is	11000000000.0	sqmeter
824	"Lake Victoria"	is	68870000000.0	sqmeter
825	Austria	is	84000000000.0	sqmeter
826	Iceland	is	100000000000.0	sqmeter
827	"Jiuquan in China;, largest city in the world"	is	167996000000.0	sqmeter
828	Italy	is	300000000000.0	sqmeter
829	Spain	is	510000000000.0	sqmeter
830	Turkey	is	780000000000.0	sqmeter
831	"Egypt, country ranked 29th by area"	is	1000000000000.0	sqmeter
832	"Sakha Republic in Russia, largest subnational governing body"	is	3100000000000.0	sqmeter
833	"Australia, country ranked 6th by area"	is	7740000000000.0	sqmeter
834	"Largest extent of the Roman Empire"	is	9000000000000.0	sqmeter
835	"Canada, including water"	is	10000000000000.0	sqmeter
836	Antarctica	is	14000000000000.0	sqmeter
837	"Arable land worldwide"	is	14000000000000.0	sqmeter
838	"Russia, country ranked 1st by area"	is	17000000000000.0	sqmeter
839	Africa	is	30000000000000.0	sqmeter
840	"Largest extent of the British Empire"	is	36000000000000.0	sqmeter
841	"Surface area of the Moon"	is	38000000000000.0	sqmeter
842	"Atlantic Ocean"	is	77000000000000.0	sqmeter
843	"Surface area of Mars"	is	144000000000000.0	sqmeter
844	"Land area of Earth"	is	150000000000000.0	sqmeter
845	"Pacific Ocean"	is	156000000000000.0	sqmeter
846	"Water area of Earth"	is	360000000000000.0	sqmeter
847	"Total surface area of Earth"	is	510000000000000.0	sqmeter
848	"Surface area of the white dwarf, Van Maanen's star"	is	1.0e+15	sqmeter
849	Neptune	is	7.6e+15	sqmeter
850	Saturn	is	4.3e+16	sqmeter
851	Jupiter	is	6.1e+16	sqmeter
852	"Surface area of the Brown Dwarf star CT Chamaeleontis."	is	3.4641e+17	sqmeter
853	"Area swept by the Moon's orbit of Earth"	is	4.6e+17	sqmeter
854	"Surface area of the Sun"	is	6.1e+18	sqmeter
855	"Surface area of the star Vega"	is	3.0e+19	sqmeter
856	"Surface area of the star Albireo A"	is	1.5e+21	sqmeter
857	"Area swept by Mercury's orbit around the Sun"	is	1.1e+22	sqmeter
858	"Area swept by Venus' orbit around the Sun"	is	3.7e+22	sqmeter
859	"Area swept by Earth's orbit around the Sun"	is	7.1e+22	sqmeter
860	"Area swept by Mars' orbit around the Sun"	is	1.6e+23	sqmeter
861	"Surface area of a sphere with a radius of 1 AU"	is	2.81e+23	sqmeter
862	"Area swept by Jupiter's orbit around the Sun"	is	1.9e+24	sqmeter
863	"Area swept by Saturn's orbit around the Sun"	is	6.4e+24	sqmeter
864	"Surface area of the red supergiant star Betelgeuse"	is	8.5e+24	sqmeter
865	"Surface area of the largest known star, the Hypergiant VY Canis Majoris"	is	2.4e+25	sqmeter
866	"Area swept by Uranus' orbit around the Sun"	is	2.6e+25	sqmeter
867	"Area swept by Neptune's orbit around the Sun"	is	6.4e+25	sqmeter
868	"Area swept by Pluto's orbit around the Sun"	is	1.1e+26	sqmeter
869	"Roughly the surface area of an Oort Cloud"	is	2.0e+32	sqmeter
870	"Roughly the surface area of a Bok globule"	is	3.0e+32	sqmeter
871	"Roughly the surface area of The Bubble"	is	3.0e+34	sqmeter
872	"Roughly the area of Milky Way's galactic disk"	is	7.0e+41	sqmeter
